epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,4137.96,0.80251,0.43147,0.95802,0.98899,0.99099,0.9934,0.84031,0.69166,0.35253,0.91055,0.000424556,0.000424556,0.000424556
73,4194.89,0.78923,0.43306,0.9545,0.98867,0.99252,0.99367,0.84059,0.69471,0.35074,0.91086,0.000410409,0.000410409,0.000410409
74,4253.39,0.79728,0.43173,0.95996,0.98884,0.99101,0.99318,0.84623,0.67569,0.34926,0.90337,0.000396262,0.000396262,0.000396262
75,4310.66,0.79828,0.43277,0.96047,0.98959,0.99443,0.99333,0.84766,0.66757,0.33988,0.89977,0.000382115,0.000382115,0.000382115
76,4368.74,0.78944,0.42475,0.94883,0.99005,0.9931,0.99363,0.8503,0.66608,0.33895,0.89772,0.000367967,0.000367967,0.000367967
77,4425.06,0.77207,0.41697,0.94996,0.98871,0.9924,0.99308,0.85204,0.66677,0.34025,0.89866,0.00035382,0.00035382,0.00035382
78,4483.07,0.78097,0.42338,0.95428,0.9897,0.99489,0.99334,0.849,0.67728,0.34069,0.90483,0.000339673,0.000339673,0.000339673
79,4540.92,0.77286,0.41733,0.95213,0.99277,0.99355,0.99364,0.85248,0.66099,0.336,0.89748,0.000325526,0.000325526,0.000325526
80,4597.99,0.7695,0.41398,0.95146,0.99051,0.99375,0.99365,0.85701,0.65978,0.33381,0.89607,0.000311379,0.000311379,0.000311379
81,4653.13,0.75662,0.40857,0.94048,0.99183,0.99323,0.99353,0.8547,0.67032,0.33312,0.89684,0.000297232,0.000297232,0.000297232
82,4711.63,0.77016,0.41402,0.947,0.99173,0.99596,0.99364,0.8564,0.65539,0.32977,0.89673,0.000283085,0.000283085,0.000283085
83,4769.64,0.75384,0.40702,0.94197,0.9921,0.9957,0.99368,0.86027,0.6391,0.32206,0.89133,0.000268938,0.000268938,0.000268938
84,4827.79,0.74611,0.40105,0.93963,0.99086,0.99568,0.9936,0.85876,0.63691,0.323,0.88879,0.000254791,0.000254791,0.000254791
85,4885.05,0.7487,0.40148,0.94151,0.99277,0.99336,0.99368,0.86144,0.63397,0.32214,0.88781,0.000240644,0.000240644,0.000240644
86,4942.55,0.76312,0.40732,0.94444,0.99329,0.99572,0.99332,0.86343,0.62748,0.31968,0.88455,0.000226497,0.000226497,0.000226497
87,5001.34,0.75561,0.40421,0.94344,0.99254,0.99505,0.99347,0.86384,0.62384,0.31842,0.88475,0.000212349,0.000212349,0.000212349
88,5056.74,0.74204,0.39802,0.94083,0.99271,0.99576,0.9939,0.86158,0.64565,0.32103,0.88771,0.000198202,0.000198202,0.000198202
89,5113.85,0.74335,0.40017,0.93509,0.99349,0.99527,0.99379,0.86956,0.61565,0.3152,0.88099,0.000184055,0.000184055,0.000184055
90,5172.33,0.73692,0.39565,0.93547,0.99395,0.99602,0.99369,0.86968,0.61603,0.31319,0.87803,0.000169908,0.000169908,0.000169908
91,5235.95,0.72754,0.37558,0.92833,0.99436,0.9941,0.99376,0.85733,0.63937,0.32219,0.88597,0.000155761,0.000155761,0.000155761
92,5293.7,0.69541,0.35671,0.91853,0.99258,0.99637,0.9939,0.86213,0.62495,0.31621,0.88204,0.000141614,0.000141614,0.000141614
93,5352.23,0.68828,0.35069,0.91483,0.99147,0.99706,0.99397,0.86273,0.62193,0.31436,0.87996,0.000127467,0.000127467,0.000127467
94,5410.92,0.68408,0.34964,0.91356,0.99496,0.99389,0.99386,0.86709,0.61402,0.31227,0.87782,0.00011332,0.00011332,0.00011332
95,5467.52,0.67103,0.34228,0.90869,0.99471,0.99446,0.99396,0.8669,0.61048,0.30866,0.87677,9.91726e-05,9.91726e-05,9.91726e-05
96,5523.09,0.67184,0.3422,0.90889,0.99281,0.99635,0.99395,0.87066,0.60281,0.30462,0.87534,8.50255e-05,8.50255e-05,8.50255e-05
97,5580.19,0.66751,0.33924,0.90072,0.99496,0.99565,0.99401,0.87245,0.60046,0.3025,0.87425,7.08784e-05,7.08784e-05,7.08784e-05
98,5637.71,0.6597,0.3353,0.90228,0.99446,0.99522,0.99395,0.87342,0.5993,0.30318,0.87331,5.67313e-05,5.67313e-05,5.67313e-05
99,5695.54,0.64905,0.33492,0.90323,0.99499,0.99548,0.99394,0.87592,0.59225,0.3007,0.87178,4.25842e-05,4.25842e-05,4.25842e-05
100,5751.85,0.65254,0.33483,0.90396,0.99448,0.99522,0.99396,0.87463,0.59238,0.29964,0.87128,2.84371e-05,2.84371e-05,2.84371e-05
